question_id,question_text,answer_1,answer_2,answer_3,answer_4,correct_answer
69,If only we ………………… a new car.,can afford,could afford,will afford,afford,could afford
70,I’d rather my brother ………………… me so much with his homework.,won’t bother,didn’t bother,don’t bother,hasn’t bothered,didn’t bother
71,He earned quite a lot of money from the ………………… of the old painting.,restoration,renewal,renovation,reimbursement,restoration
72,It came as a shock that the painting which was thought to be a masterpiece was actually …………………,invaluable,priceless,valuable,worthless,worthless
73,"The high school offered a wider range of ………………… in their curriculum, among them Chinese and Drama.",subjects,topics,lessons,objects,subjects
74,The city library offers a self-access centre ………………… with the latest technology for online study.,equipped,provided,stored,supplied,equipped
75,"As a storm warning had been released, we could see a lot of ships drawing near in the ………………… .",beach,shore,pier,harbour,harbour
76,"Research proves that stress is increased by ………………… such as worry, overwork, and lack of physical exercise.",circumstances,situations,contexts,factors,factors
77,I don’t know when we ………………… house.,will move,had moved,move,have moved,will move
78,The perfumes were actually a ………………… cry from what you can find in France.,long,different,far,total,far
79,The ship that was to take the tourists on a cruise to those islands was not ………………… a yacht at all.,looking,seeming,appearing,resembling,resembling
80,"According to the agreements, it was their duty to draw up the plan so we had no ………………… of interfering.",aim,scope,intention,objective,intention
81,"After efforts to keep them alive, the hospital announced the baby was the ………………… survivor of the accident.",lonely,solitary,sole,alone,sole
82,It is ………………… knowledge that the man was a convict and had to be avoided.,plain,clear,universal,common,common
83,By Christmas we hope to get a loan and have our car changed for a newer ………………… .,make,mark,model,brand,model
84,The whole country was boiling as the temperatures had already reached 40 degrees in the ………………… .,shade,dusk,shadow,shelter,shade
85,I’ll have James ………………… these figures once more.,to checking,to check,check,checked,check
86,None of you would have known about my arrival if she had not let the ………………… out of the bag.,mouse,beaver,fly,cat,cat
87,"………………… you run into the twins, tell them to see me in the manager’s office.",Unless,Since,In case,While,In case
88,………………… option was suitable for your timetable so I had to turn them down.,None,Neither,Every,Either,Neither
89,Her artistic career rocketed and this obviously involved ………………… to far places like Japan or Indonesia.,to travel,travelling,having travelled,to be travelling,travelling
90,"………………… its high price, she bought the Mercedes.",In spite,Although,Though,Despite,Despite
91,The milk is giving ………………… a horrible smell.,back,away,off,out,off
92,………………… out of school and finding your own way to be rich is a really tempting but risky idea.,Going,Dropping,Quitting,Cancelling,Dropping
93,I’ve ………………… this old photo while looking for my glasses.,run into,come across,found out,made out,come across
94,“Can you come with us today?” “I can’t as I’m redecorating the office. ………………… my mother is ill.,Even so,On top of that,All the same,After all,On top of that
95,Normally I would be glad to accept your invitation but under the circumstances I have to ………………… .,decline,reject,renounce,reschedule,decline
96,"If you don’t look into this matter, I’ll be forced to take legal ………………… .",step,action,move,measure,action
97,The children didn’t hope to see a ………………… of dolphins on the cruise in the Black Sea,pack,school,swarm,colony,school
98,She was so angry that she could barely ………………… her voice.,manage,check,control,hold,control
99,The captain managed to ………………… the boat between the narrow rocks.,conduct,lead,tour,steer,steer
100,"According to scientists, the Internet has changed some of our working ………………… .",manners,conducts,habits,behaviours,habits
