question_id,question_text,answer_1,answer_2,answer_3,answer_4,correct_answer
72,"Until all the candidates had been seen, it was impossible to ………… any one of them.",put away,rule out,make for,determine for,rule out
73,The Princess was ………… from sleep when a frog landed on her nose.,roused,raised,rose,arisen,roused
74,She was ………… for the injury she received at work.,rewarded,benefited,remunerated,compensated,compensated
75,"Nobody envied Chris her first public speaking engagement, but she rose to the ………… magnificently.",situation,opportunity,occasion,event,occasion
76,"The result of the ballot was five in favour and five against, so the Chair had the ………… vote.",casting,concluding,last,latest,casting
77,His manner was considered to be rather ………… and he was not offered the part.,off-balance,off-hand,off-guard,off-peak,off-hand
78,Don’t be ………… . Invest in more than one company.,risky,hazardous,rash,chancy,rash
79,Family relationships later ………… a greater significance in his life.,built up,kept on,took on,made up,took on
80,The report suggested ………… up links with local companies.,setting,making,doing,joining,setting
81,I feel that my son was let down by the government’s ………… approach to education.,narrow-minded,petty-minded,small-minded,close-minded,narrow-minded
82,I really had to ………… my brains to remember the answers to the quiz questions.,search,stretch,rack,reach,rack
83,The ………… of rain can create a desert in a few years.,dearth,abundance,penury,hiatus,dearth
84,He realised he was surplus ………… requirements in the company and resigned.,for,to,by,above,to
85,Film studios can make money by ………… in on previously successful films and remaking them.,cashing,moving,getting,looking,cashing
86,Customs officials have been ………… with drug traffickers to cover their tracks.,colliding,collating,coaxing,colluding,colluding
87,I have no idea whether the restaurant will be open-we’ll just have to take pot ……………. .,choice,chance,fortune,luck,luck
88,I don’t really enjoy his company; he’s as ………… as a magpie.,sly,garish,garrulous,quiet,garrulous
89,Magazines promote the virtues of eating a ………… diet.,well-rounded,balanced,complete,fair,balanced
90,"………… gourmet restaurants, Mr. Brown creates magnificent meals in which he puts the finest ingriedients.",Like other,Like chefs in other,The same as other,Like any other,Like chefs in other
91,She made many enemies because of her ………… wit.,ingratiating,magnanimous,acerbic,inane,acerbic
92,"Because of the drug’s ………… effect, you should not drive after taking it.",noxious,poignant,inimical,soporific,soporific
93,"Although talent may be a crucial element on the road to fame, it will be ………… without a highly developed work ethic.",hard to get going,difficult to get very far,difficult to get farther,difficult to travel there,difficult to get very far
94,She would never have believed that her article was so ………… were it not for the ………… of correspondence that followed its publication.,controversial … spate,commonplace … influx,inflamatory … lack,interesting … dearth,controversial … spate
95,King John of England is remembered not so much for his administrative successes ………… in military engagements.,but for failing,as for his failures,than for his failing,but more for the fact that he failed,as for his failures
96,"………… to sound good, but also I discovered that I had some rythmic talents.",Not only the group did actually start,Not only the group actually started,Not only actually did the group start,Not only did the group actually start,Not only did the group actually start
