question_id,question_text,answer_1,answer_2,answer_3,answer_4,correct_answer
23,I don’t know why she thinks she’s attractively feminine when she ……………………… her eyelids like that.,quivers,trembles,flickers,shudders,flickers
24,Paul thought he saw Theresa when he ……………………… over his shoulder for half a second.,stared,gazed,glanced,glimpsed,glanced
25,"She expects everyone to look ……………………… her, but her behaviour doesn`t really inspire respect.",up at,down on,up to,down to,up to
26,No sooner had I left the house ........................... Dad called me on my mobile.,that,when,then,than,than
27,The ……………………… sunset made the otherwise banal scenery look breathtakingly beautiful.,imposing,sumptuous,excellent,majestic,majestic
28,Our teacher has ……………………… the amount of time we spend on group projects.,expanded,increased,enlarged,grown,increased
29,It takes years of practice only to become a ……………………… teacher.,profitable,professed,proficient,promiscuous,proficient
30,The manager ……………………… to know who had made the mistake.,required,insisted,demanded,urged,demanded
31,She broke ……………………… in the middle of the speech when the earthquake started.,up,back,through,off,off
32,"For years, scientists have been advising that the astonishing increase in life expectancy will not ……………………… .",abide,abate,retain,continue,continue
33,Santa must be furious with this new generation of ……………………… elves.,garish,obsolete,derelict,indolent,indolent
34,By 2070 female life expectancy in the United States could be as ……………………… as 101 years.,high,good,far,long,high
35,Don`t let them push you around-stand ……………………… yourself!,up to,up for,in to,in for,up for
36,The cake ……………………… eaten before I got to the party.,will have been,has been,had been,had,had been
37,The speed with which bands ……………………… into obscurity has increased over the last couple of years.,drop,submerge,descend,sink,sink
38,You may be surprised by the number of ……………………… objects which contain soya beans – from soap to fire-extinguisher fluids.,average,everyday,daily,frequent,everyday
39,"When the oil has been ………………………, what is left of the olives has a myriad of other uses.",extorted,extracted,withdrawn,squeezed,extracted
40,"You may be under the ……………………… that soya beans are a recent discovery, but that couldn’t be further from the truth.",apprehension,conclusion,notion,impression,impression
41,Two people were ……………………… when the police shot at the criminal.,claimed,wounded,injured,stabbed,wounded
42,Some Spanish horses escaped and ran wild in the grassy ……………………… of North America.,expanses,breadths,sites,lengths,expanses
43,We can go skiing together because ……………………… next week.,I’m not to work,I’m not working,I’m not about to work,I don’t work,I’m not working
44,His confusion ……………………… seating arrangements at the meeting was handled quickly.,for,over,at,on,over
45,This kind of behaviour is ……………………… to him.,alien,distant,aloof,different,alien
46,Three ……………………… gave advice while Ray tried to park the car.,onlookers,spectators,viewers,audiences,onlookers
47,I`m amazed that you found a carpet to ……………………… those curtains.,suit,match,fit,assort,match
48,"John, I would really rather we ……………………… more time sunbathing than buying souvenirs right now.",spend,spent,have spent,had spent,spent
49,"By the end of this century, we ……………………… distant planets for 100 years.",are exploring,will have explored,will explore,will have been exploring,will have been exploring
50,The print edition of the dictionary is regularly ……………………… to include new words.,renovated,renewed,upgraded,updated,updated
51,The sculpture is worth an ……………………… $10 million.,assessed,evaluated,appreciated,estimated,estimated
52,My sister ……………………… most of her spare time to writing poems.,assigns,devotes,gives,distributes,devotes
53,John`s plans fell ……………………… when Mike decided he could not go swimming with him.,away,through,out,in,through
54,He has a ……………………… experience in marketing in Europe.,grand,wide,large,great,wide
55,The committee held a ……………………… last week.,meeting,gathering,session,sitting,meeting
56,He speaks English very well ……………………… he’s only 12.,even if,despite,in spite of,even though,even though
57,He never takes risks – he’s a very ……………………… man.,mindful,anxious,attentive,cautious,cautious
58,I really need help from you in order to ……………………… this problem.,evade,bypass,tackle,face,tackle
59,That ……………………… of wood in the corner almost reaches to the ceiling.,row,stack,bundle,bunch,stack
60,Puddings are the ……………………… in the crown of British cookery.,brooch,jewel,necklace,feather,jewel
61,Riot police tried to ……………………… the demonstrators with tear gas and water cannons.,repel,withdraw,prevent,hinder,repel
62,"By this time next month, the builders ……………………… the house.",will complete,will be completing,will have completed,will have been completing,will have completed
63,Please do exactly as you are ………………………!,spoken,said,told,mentioned,told
64,The children love to ……………………… water over one another in the pool.,gush,spill,ooze,splash,splash
65,They never become old: their youth is ……………………… .,deciduous,relentless,immortal,untarnished,immortal
66,She scarcely earns enough money to make ……………………… meet.,limits,ends,edges,bounds,ends
67,"Before the 18th century, epidemics from unsanitary conditions used to ……………………… entire towns.",wipe out,plunder,allay,destroy,wipe out
68,Most houses today have good ……………………… from the cold weather.,inclination,isolation,insulation,insolvent,insulation
69,‘This time next week we ……………………… on the beach!’ ‘I can't wait!’,are lying,will be lying,will have lain,will have been lying,will be lying
70,The witness ……………………… himself in court by lying about what he saw.,eliminated,reformed,perjured,throned,perjured
71,You should keep the ……………………… in case you want to take that dress back to the shop.,recipe,fare,receipt,fee,receipt
72,It is ……………………… surprising that Britain’s first tea plantation was created there.,merely,utterly,sparsely,hardly,hardly
73,The scientists have been carrying ……………………… some very important experiments.,off,through,out,on,out
74,Gordon has to ……………………… a speech next week and he`s very nervous about it.,convey,do,conduct,deliver,deliver
75,He`s not ……………………… out for working at a zoo; he`s terrified of the animals.,made,held,cut,carried,cut
76,The air supply in the spaceship will only hold ……………………… for four more days.,on,back,out,up,out
77,Nicholas is ……………………… for a shock when he sees what his dog has done to the carpet.,in,out,up,on,in
78,The meeting will start when everyone ……………………… .,will arrive,has arrived,is arriving,will have arrived,has arrived
79,The car skidded on the slippery road and ……………………… into a lamp post.,collided,crashed,crushed,shattered,crashed
80,No amount of money can ……………………… me to leave the company.,entice,attract,draw,lure,entice
81,"By two o'clock, he ……………………… computer games for three hours.",was to be playing,was playing,has been playing,had been playing,had been playing
82,The girl admitted ……………………… to her teacher.,to lie,be lying,having lied,to have lied,having lied
83,We saw the girls ……………………… football as we drove past the field.,play,to playing,to play,playing,playing
84,……………………… you tell me how much this costs?,May,Ought,Might,Must,Must
85,"Suppose he ……………………… you stealing, what would you do?",caught,catches,has caught,had caught,caught
86,The ……………………… buildings in town are nearly a thousand years old.,historic,outdated,historical,estimated,historic
87,"I’d like to put ……………………… a suggestion, if I may.",forward,over,across,through,forward
88,It’s hard to ……………………… the difference between Singaporean and Malay English.,debate,discern,discard,determine,discern
89,Housing is very expensive in and ……………………… Seoul.,over,around,out,about,around
90,It must have cost him a ……………………… fortune.,little,slight,small,slim,small
91,The prosecution tried to ……………………… doubt on her character as a witness.,shed,cast,spread,inflict,cast
92,Kids his age typically have a very short attention ……………………… .,span,time,period,spell,span
93,You can't sit on the ……………………… any longer - what's it going to be?,wall,fence,side,hedge,fence
94,This is the second time I've been ……………………… for promotion.,taken out,gone through,left out,passed over,passed over
95,"When a person plunges into icy water, the body temperature ……………………… rapidly due to super-fast cooling.",falls,reduces,lessens,dwindles,falls
96,"With ……………………… of 100 to 1 against him, he ran a tremendous race and finished in third place.",stakes,odds,wagers,bets,odds
97,"I agree with the latter point, but not with the ……………………… .",prior,earlier,former,first,former
98,The doctors gave him more powerful drugs in the ……………………… hope that he might recover.,poor,wrong,blind,vain,vain
99,"In order to stay in business, they decided that the wisest ……………………… to follow was to lower their prices.",course,action,way,method,course
100,Audience figures fell ………………………during the second series of the programme.,down,off,out,short,off
